title,author,published_year,language,subjects,cover,content
nueva arquitectura tradicional mmxxii: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus,alejandro garcía hermida,2022,spanish,"vernacular architecture, architecture, awards, architecture vernaculaire, spain, espagne",https://openlibrary.org/images/icons/avatar_book-sm.png,title: nueva arquitectura tradicional mmxxii: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus. title: nueva arquitectura tradicional mmxxii: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus. author: alejandro garcía hermida. author: alejandro garcía hermida. subjects: vernacular architecture  architecture  awards  architecture vernaculaire  spain  espagne
politics of literary prestige: prizes and spanish american literature,sarah e. l. bowskill,2022,english,"spanish american literature, awards, political aspects, literary prizes, literary studies: from c 1900 -, literary studies: fiction, novelists & prose writers, social & political philosophy",https://openlibrary.org/images/icons/avatar_book-sm.png,title: politics of literary prestige: prizes and spanish american literature. title: politics of literary prestige: prizes and spanish american literature. author: sarah e. l. bowskill. author: sarah e. l. bowskill. subjects: spanish american literature  awards  political aspects  literary prizes  literary studies: from c 1900 -  literary studies: fiction  novelists & prose writers  social & political philosophy
premio combat 2022 prize,paolo batoni,2022,italian,"premio combat, exhibitions, modern art, italian art, art, awards, italy, livorno, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: premio combat 2022 prize. title: premio combat 2022 prize. author: paolo batoni. author: paolo batoni. subjects: premio combat  exhibitions  modern art  italian art  art  awards  italy  livorno  21st century
qspa 10: the queen sonja print award,alf van der hagen,2022,english,"prints, awards, queen sonja print award",https://openlibrary.org/images/icons/avatar_book-sm.png,title: qspa 10: the queen sonja print award. title: qspa 10: the queen sonja print award. author: alf van der hagen. author: alf van der hagen. subjects: prints  awards  queen sonja print award
sustainable design 9: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city,marie-hélène contal,2022,french,"sustainable architecture, awards, history, global award for sustainable architecture, architecture and society, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: sustainable design 9: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city. title: sustainable design 9: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city. author: marie-hélène contal. author: marie-hélène contal. subjects: sustainable architecture  awards  history  global award for sustainable architecture  architecture and society  21st century
symposium städtebau revisited: preise - praxis - perspektiven : preisverleihung : deutscher städtebaupreis 2020,christina simon-philipp,2022,german,"city planning, congresses, awards, german architecture, urbanisme, congrès, prix et récompenses, architecture allemande, germany, allemagne, 21st century, 21e siècle",https://openlibrary.org/images/icons/avatar_book-sm.png,title: symposium städtebau revisited: preise - praxis - perspektiven : preisverleihung : deutscher städtebaupreis 2020. title: symposium städtebau revisited: preise - praxis - perspektiven : preisverleihung : deutscher städtebaupreis 2020. author: christina simon-philipp. author: christina simon-philipp. subjects: city planning  congresses  awards  german architecture  urbanisme  congrès  prix et récompenses  architecture allemande  germany  allemagne  21st century  21e siècle
synthetic organic chemistry and the nobel prize volume 1,john g. d'angelo,2022,english,"science / chemistry / organic, medical / pharmacology, organic compounds, synthesis, nobel prizes, nobel prize winners, organic chemistry, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,title: synthetic organic chemistry and the nobel prize volume 1. title: synthetic organic chemistry and the nobel prize volume 1. author: john g. d'angelo. author: john g. d'angelo. subjects: science / chemistry / organic  medical / pharmacology  organic compounds  synthesis  nobel prizes  nobel prize winners  organic chemistry  awards
the best short stories 2022: the o. henry prize winners,"valeria luiselli, jenny minton quigley",2022,english,"literature, short stories, awards",https://covers.openlibrary.org/b/id/14597913-M.jpg,title: the best short stories 2022: the o. henry prize winners. title: the best short stories 2022: the o. henry prize winners. author: valeria luiselli  jenny minton quigley. author: valeria luiselli  jenny minton quigley. subjects: literature  short stories  awards
world press photo 2022,world press photo foundation,2022,english,"photojournalism, awards, twenty-first century, pictorial works, vingt et unième siècle, ouvrages illustrés, photographie de presse",https://covers.openlibrary.org/b/id/13256566-M.jpg,title: world press photo 2022. title: world press photo 2022. author: world press photo foundation. author: world press photo foundation. subjects: photojournalism  awards  twenty-first century  pictorial works  vingt et unième siècle  ouvrages illustrés  photographie de presse
33o. prêmio design museu da casa brasileira: premiados e selecionados,brazil) prêmio design museu da casa bras...,2021,portuguese,"industrial design, exhibitions, awards, design, history, posters, brazil, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: 33o. prêmio design museu da casa brasileira: premiados e selecionados. title: 33o. prêmio design museu da casa brasileira: premiados e selecionados. author: brazil) prêmio design museu da casa bras.... author: brazil) prêmio design museu da casa bras.... subjects: industrial design  exhibitions  awards  design  history  posters  brazil  21st century
anxiety on/off,anna lim,2021,english,"exhibitions, artistic photography, disaster victims, pictorial works, disasters, awards, ilwoo foundation",https://openlibrary.org/images/icons/avatar_book-sm.png,title: anxiety on/off. title: anxiety on/off. author: anna lim. author: anna lim. subjects: exhibitions  artistic photography  disaster victims  pictorial works  disasters  awards  ilwoo foundation
architekturpreis nrw 2021,bund deutscher architektinnen und architekten bda landesverband nordrhein-westfalen,2021,german,"architecture, awards, exhibitions, germany, north rhine-westphalia",https://openlibrary.org/images/icons/avatar_book-sm.png,title: architekturpreis nrw 2021. title: architekturpreis nrw 2021. author: bund deutscher architektinnen und architekten bda landesverband nordrhein-westfalen. author: bund deutscher architektinnen und architekten bda landesverband nordrhein-westfalen. subjects: architecture  awards  exhibitions  germany  north rhine-westphalia
architizer: the world's best architecture practices 2021,architizer,2021,english,"architecture, modern, 21st century, architectural design, architecture, designs and plans, architecture, competitions, awards, modern architecture, designs and plans, architizer (online information services)",https://covers.openlibrary.org/b/id/12419105-M.jpg,title: architizer: the world's best architecture practices 2021. title: architizer: the world's best architecture practices 2021. author: architizer. author: architizer. subjects: architecture  modern  21st century  architectural design  architecture  designs and plans  architecture  competitions  awards  modern architecture  designs and plans  architizer (online information services)
arkitektur i trä: träpriset 2020 = architecture in wood : the swedish wood award 2020,svenskt trä (organization),2021,swedish,"wooden building, awards, swedish architecture, sweden",https://openlibrary.org/images/icons/avatar_book-sm.png,title: arkitektur i trä: träpriset 2020 = architecture in wood : the swedish wood award 2020. title: arkitektur i trä: träpriset 2020 = architecture in wood : the swedish wood award 2020. author: svenskt trä (organization). author: svenskt trä (organization). subjects: wooden building  awards  swedish architecture  sweden
ars viva 2021,"min-young jeon, nicolaus schafhausen, marc siegel, colin lang, kathleen rahn",2021,english,"art, exhibitions, awards, modern art, kulturkreis der deutschen wirtschaft im bundesverband der deutschen industrie",https://openlibrary.org/images/icons/avatar_book-sm.png,title: ars viva 2021. title: ars viva 2021. author: min-young jeon  nicolaus schafhausen  marc siegel  colin lang  kathleen rahn. author: min-young jeon  nicolaus schafhausen  marc siegel  colin lang  kathleen rahn. subjects: art  exhibitions  awards  modern art  kulturkreis der deutschen wirtschaft im bundesverband der deutschen industrie
bda hamburg architektur preis 2020: die baujahre 2018-2020 ; mit den gewinnerbauten der letzten 25 jahre,"hildegard kösters, anna schuster",2021,german,"architecture, awards, history, modern architecture, buildings, structures, germany, hamburg, hamburg (germany), 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: bda hamburg architektur preis 2020: die baujahre 2018-2020 ; mit den gewinnerbauten der letzten 25 jahre. title: bda hamburg architektur preis 2020: die baujahre 2018-2020 ; mit den gewinnerbauten der letzten 25 jahre. author: hildegard kösters  anna schuster. author: hildegard kösters  anna schuster. subjects: architecture  awards  history  modern architecture  buildings  structures  germany  hamburg  hamburg (germany)  21st century
best highrises 2020/21: the international highrise award 2020,"peter cachola schmal, peter körner, stefanie lampe, jonas malzahn",2021,"english, german","high-rise apartment buildings, design and construction, skyscrapers, awards, exhibitions, architecture, modern architecture",https://openlibrary.org/images/icons/avatar_book-sm.png,title: best highrises 2020/21: the international highrise award 2020. title: best highrises 2020/21: the international highrise award 2020. author: peter cachola schmal  peter körner  stefanie lampe  jonas malzahn. author: peter cachola schmal  peter körner  stefanie lampe  jonas malzahn. subjects: high-rise apartment buildings  design and construction  skyscrapers  awards  exhibitions  architecture  modern architecture
beton 21: architekturpreis = prix d'architecture:architecture prize,betonsuisse marketing ag,2021,multiple languages,"architecture, awards, switzerland",https://openlibrary.org/images/icons/avatar_book-sm.png,title: beton 21: architekturpreis = prix d'architecture:architecture prize. title: beton 21: architekturpreis = prix d'architecture:architecture prize. author: betonsuisse marketing ag. author: betonsuisse marketing ag. subjects: architecture  awards  switzerland
both pulitzer and nobel prize laureates in literature: jury communications about winners and works from sinclair le,heinz-dietrich fischer,2021,english,"writing, awards, nobel prize winners, pulitzer prizes",https://openlibrary.org/images/icons/avatar_book-sm.png,title: both pulitzer and nobel prize laureates in literature: jury communications about winners and works from sinclair le. title: both pulitzer and nobel prize laureates in literature: jury communications about winners and works from sinclair le. author: heinz-dietrich fischer. author: heinz-dietrich fischer. subjects: writing  awards  nobel prize winners  pulitzer prizes
fukushi no shōjiten,nichigai asoshiētsu,2021,japanese,"social service, handbooks, manuals, awards, shakai fukushi-benran, hyōshō-benran, japan",https://openlibrary.org/images/icons/avatar_book-sm.png,title: fukushi no shōjiten. title: fukushi no shōjiten. author: nichigai asoshiētsu. author: nichigai asoshiētsu. subjects: social service  handbooks  manuals  awards  shakai fukushi-benran  hyōshō-benran  japan
geehrte volkskunde: ehrenpromotionen und ehrenbürgerschaften an der universität münster (1922-1968),julius virnyi,2021,german,"academic decorations of honor, history, folklore, local history, degrees, awards, universität münster, germany, münster in westfalen, 20th century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: geehrte volkskunde: ehrenpromotionen und ehrenbürgerschaften an der universität münster (1922-1968). title: geehrte volkskunde: ehrenpromotionen und ehrenbürgerschaften an der universität münster (1922-1968). author: julius virnyi. author: julius virnyi. subjects: academic decorations of honor  history  folklore  local history  degrees  awards  universität münster  germany  münster in westfalen  20th century
helen feifel: something else shapes : lingener kunstpreis 2020 = lingen art prize 2020,"helen feifel, meike behm",2021,german,"exhibitions, awards, kunsthalle lingen, helen feifel (1983-)",https://openlibrary.org/images/icons/avatar_book-sm.png,title: helen feifel: something else shapes : lingener kunstpreis 2020 = lingen art prize 2020. title: helen feifel: something else shapes : lingener kunstpreis 2020 = lingen art prize 2020. author: helen feifel  meike behm. author: helen feifel  meike behm. subjects: exhibitions  awards  kunsthalle lingen  helen feifel (1983-)
julian charrière: towards no earthly pole,"david breskin, ele carpenter, carson chan, peter galison, dehlia hannah, richard rhodes - undifferentiated, eric ellingsen, charles stankievech",2021,"english, german","exhibitions, glaciers, towards no earthly pole (motion picture), nuclear explosions in art, in art, art, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,title: julian charrière: towards no earthly pole. title: julian charrière: towards no earthly pole. author: david breskin  ele carpenter  carson chan  peter galison  dehlia hannah  richard rhodes - undifferentiated  eric ellingsen  charles stankievech. author: david breskin  ele carpenter  carson chan  peter galison  dehlia hannah  richard rhodes - undifferentiated  eric ellingsen  charles stankievech. subjects: exhibitions  glaciers  towards no earthly pole (motion picture)  nuclear explosions in art  in art  art  awards
"jāʼizat al-malik ʻabd al-ʻazīz lil-buḥūth al-ʻilmīyah fī qaḍāyā al-ṭufūlah wa-al-tanmiyah fī al-waṭan al-ʻarabī: al-buḥūth al-fāʼizah fī al-dawrah al-thāniyah ""tamkīn al-ṭifl al-ʻarabī fī ʻaṣr al-thawrah al-ṣināʻiyah al-rābiʻah, 2019-2021"" = king abdulaziz prize for scientific research on childhood and development : the winning research in the second cycle of the prize ''the empowerment of arab children in the era of the fourth industrial revolution, 2019-2021''",arab council for childhood and developme...,2021,arabic,"child development, research, effect of technological innovations on, awards, arab countries, saudi arabia, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,"title: jāʼizat al-malik ʻabd al-ʻazīz lil-buḥūth al-ʻilmīyah fī qaḍāyā al-ṭufūlah wa-al-tanmiyah fī al-waṭan al-ʻarabī: al-buḥūth al-fāʼizah fī al-dawrah al-thāniyah ""tamkīn al-ṭifl al-ʻarabī fī ʻaṣr al-thawrah al-ṣināʻiyah al-rābiʻah  2019-2021"" = king abdulaziz prize for scientific research on childhood and development : the winning research in the second cycle of the prize ''the empowerment of arab children in the era of the fourth industrial revolution  2019-2021''. title: jāʼizat al-malik ʻabd al-ʻazīz lil-buḥūth al-ʻilmīyah fī qaḍāyā al-ṭufūlah wa-al-tanmiyah fī al-waṭan al-ʻarabī: al-buḥūth al-fāʼizah fī al-dawrah al-thāniyah ""tamkīn al-ṭifl al-ʻarabī fī ʻaṣr al-thawrah al-ṣināʻiyah al-rābiʻah  2019-2021"" = king abdulaziz prize for scientific research on childhood and development : the winning research in the second cycle of the prize ''the empowerment of arab children in the era of the fourth industrial revolution  2019-2021''. author: arab council for childhood and developme.... author: arab council for childhood and developme.... subjects: child development  research  effect of technological innovations on  awards  arab countries  saudi arabia  21st century"
"k wie kunst: kardinal könig kunstpreis für bildende kunst, salzburg 2021",kardinal-könig-kunstfonds der erzdiözese salzburg,2021,german,"modern art, awards, germany, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: k wie kunst: kardinal könig kunstpreis für bildende kunst  salzburg 2021. title: k wie kunst: kardinal könig kunstpreis für bildende kunst  salzburg 2021. author: kardinal-könig-kunstfonds der erzdiözese salzburg. author: kardinal-könig-kunstfonds der erzdiözese salzburg. subjects: modern art  awards  germany  21st century
la vita che danza: storie dal premio internazionale di danza classica maria antonietta berlusconi per i giovani,gisella zilembo,2021,italian,"ballet, awards, history, ballet dancers, premio mab, italy, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: la vita che danza: storie dal premio internazionale di danza classica maria antonietta berlusconi per i giovani. title: la vita che danza: storie dal premio internazionale di danza classica maria antonietta berlusconi per i giovani. author: gisella zilembo. author: gisella zilembo. subjects: ballet  awards  history  ballet dancers  premio mab  italy  21st century
marcel odenbach: schnittvorlagen : wolfgang-hahn-preis 2021 = wolfgang hahn prize 2021,"marcel odenbach, carla cugini, yilmaz dziewior, susanne pfeffer, museum ludwig cologne",2021,multiple languages,"exhibitions, collage, awards, marcel odenbach (1953-)",https://openlibrary.org/images/icons/avatar_book-sm.png,title: marcel odenbach: schnittvorlagen : wolfgang-hahn-preis 2021 = wolfgang hahn prize 2021. title: marcel odenbach: schnittvorlagen : wolfgang-hahn-preis 2021 = wolfgang hahn prize 2021. author: marcel odenbach  carla cugini  yilmaz dziewior  susanne pfeffer  museum ludwig cologne. author: marcel odenbach  carla cugini  yilmaz dziewior  susanne pfeffer  museum ludwig cologne. subjects: exhibitions  collage  awards  marcel odenbach (1953-)
michaela meise. totenklage,thomas niemeyer,2021,"german, english, turkish","exhibitions, awards, städtische galerie nordhorn (germany)",https://covers.openlibrary.org/b/id/12566961-M.jpg,title: michaela meise. totenklage. title: michaela meise. totenklage. author: thomas niemeyer. author: thomas niemeyer. subjects: exhibitions  awards  städtische galerie nordhorn (germany)
nueva arquitectura tradicional mmxxi: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus,alejandro garcía hermida,2021,spanish,"vernacular architecture, architecture, awards, spain",https://openlibrary.org/images/icons/avatar_book-sm.png,title: nueva arquitectura tradicional mmxxi: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus. title: nueva arquitectura tradicional mmxxi: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus. author: alejandro garcía hermida. author: alejandro garcía hermida. subjects: vernacular architecture  architecture  awards  spain
ogólnopolski przegląd plakatu muzealnego i ochrony zabytków: 2. edycja,poland) ogólnopolski przegląd plakatu mu...,2021,polish,"polish posters, graphic artists, posters, competitions, awards, art, exhibitions, poland",https://openlibrary.org/images/icons/avatar_book-sm.png,title: ogólnopolski przegląd plakatu muzealnego i ochrony zabytków: 2. edycja. title: ogólnopolski przegląd plakatu muzealnego i ochrony zabytków: 2. edycja. author: poland) ogólnopolski przegląd plakatu mu.... author: poland) ogólnopolski przegląd plakatu mu.... subjects: polish posters  graphic artists  posters  competitions  awards  art  exhibitions  poland
preis bauen im bestand 2021,ira diana mazzoni,2021,german,"architecture, awards, modern architecture, germany, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: preis bauen im bestand 2021. title: preis bauen im bestand 2021. author: ira diana mazzoni. author: ira diana mazzoni. subjects: architecture  awards  modern architecture  germany  21st century
"premio franklin rawson, a las artes visuales: 1o. edición, 2020",emanuel diaz ruiz,2021,spanish,"art, exhibitions, awards, artists, history, argentina, san juan (province), 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: premio franklin rawson  a las artes visuales: 1o. edición  2020. title: premio franklin rawson  a las artes visuales: 1o. edición  2020. author: emanuel diaz ruiz. author: emanuel diaz ruiz. subjects: art  exhibitions  awards  artists  history  argentina  san juan (province)  21st century
"premio hystrio, giovani da 30 anni","ilaria angelone, claudia cannella",2021,italian,"premio hystrio, history, young actors, awards, italy",https://openlibrary.org/images/icons/avatar_book-sm.png,title: premio hystrio  giovani da 30 anni. title: premio hystrio  giovani da 30 anni. author: ilaria angelone  claudia cannella. author: ilaria angelone  claudia cannella. subjects: premio hystrio  history  young actors  awards  italy
prizing scottish literature: a cultural history of the saltire society literary awards,stevie marsden,2021,english,"literary prizes, scottish literature, awards, saltire society",https://openlibrary.org/images/icons/avatar_book-sm.png,title: prizing scottish literature: a cultural history of the saltire society literary awards. title: prizing scottish literature: a cultural history of the saltire society literary awards. author: stevie marsden. author: stevie marsden. subjects: literary prizes  scottish literature  awards  saltire society
"scénographie des plaisirs urbains - jacqueline osty, grand p","jacqueline osty, ariella masboungi, antoine petitjean",2021,french,"grand prix de l'urbanisme, city planning, history, awards, architecture",https://covers.openlibrary.org/b/id/11298645-M.jpg,title: scénographie des plaisirs urbains - jacqueline osty  grand p. title: scénographie des plaisirs urbains - jacqueline osty  grand p. author: jacqueline osty  ariella masboungi  antoine petitjean. author: jacqueline osty  ariella masboungi  antoine petitjean. subjects: grand prix de l'urbanisme  city planning  history  awards  architecture
shokubunka no shōjiten,nichigai asoshiētsu,2021,japanese,"food habits, handbooks, manuals, awards, food industry and trade, food science, agriculture, fisheries, shokuseikatsu-benran, shokuhin-benran, nōgyō-benran, hyōshō-benran, japan",https://openlibrary.org/images/icons/avatar_book-sm.png,title: shokubunka no shōjiten. title: shokubunka no shōjiten. author: nichigai asoshiētsu. author: nichigai asoshiētsu. subjects: food habits  handbooks  manuals  awards  food industry and trade  food science  agriculture  fisheries  shokuseikatsu-benran  shokuhin-benran  nōgyō-benran  hyōshō-benran  japan
"signo, expresión y conflicto: obras de ariel aballay, ezequiel quines, diego bastos",eduardo stupía,2021,spanish,"argentine drawing, exhibitions, awards, argentine art, artists, history, diego bastos (1975-), ezequiel quines (1987-), ariel aballay (1972-), argentina, san juan (province), 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: signo  expresión y conflicto: obras de ariel aballay  ezequiel quines  diego bastos. title: signo  expresión y conflicto: obras de ariel aballay  ezequiel quines  diego bastos. author: eduardo stupía. author: eduardo stupía. subjects: argentine drawing  exhibitions  awards  argentine art  artists  history  diego bastos (1975-)  ezequiel quines (1987-)  ariel aballay (1972-)  argentina  san juan (province)  21st century
sten a olssons kulturstipendium 2020,"sara michaëlsson, magnus haglund",2021,swedish,"swedish art, arts, awards, scholarships, fellowships, sten a olssons stiftelse för forskning och kultur, sweden, göteborg",https://openlibrary.org/images/icons/avatar_book-sm.png,title: sten a olssons kulturstipendium 2020. title: sten a olssons kulturstipendium 2020. author: sara michaëlsson  magnus haglund. author: sara michaëlsson  magnus haglund. subjects: swedish art  arts  awards  scholarships  fellowships  sten a olssons stiftelse för forskning och kultur  sweden  göteborg
st︠s︡enarii peremen: uvarovskai︠a︡ nagrada i ėvoli︠u︡t︠s︡ii︠a︡ russkoĭ dramaturgii v ėpokhu aleksandra ii,k. i︠u︡ zubkov,2021,russian,"russian drama, history and criticism, literary prizes, history, awards, russia, 19th century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: st︠s︡enarii peremen: uvarovskai︠a︡ nagrada i ėvoli︠u︡t︠s︡ii︠a︡ russkoĭ dramaturgii v ėpokhu aleksandra ii. title: st︠s︡enarii peremen: uvarovskai︠a︡ nagrada i ėvoli︠u︡t︠s︡ii︠a︡ russkoĭ dramaturgii v ėpokhu aleksandra ii. author: k. i︠u︡ zubkov. author: k. i︠u︡ zubkov. subjects: russian drama  history and criticism  literary prizes  history  awards  russia  19th century
swiss architectural award 2020,nicola navone,2021,"italian, english","modern architecture, exhibitions, architecture, awards, switzerland, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,title: swiss architectural award 2020. title: swiss architectural award 2020. author: nicola navone. author: nicola navone. subjects: modern architecture  exhibitions  architecture  awards  switzerland  21st century
terrafibra architectures,"dominique gauzin-müller, aurélie vissac",2021,french,"adobe houses, exhibitions, awards, earth construction, organic architecture, sustainable architecture, terrafibra awards",https://openlibrary.org/images/icons/avatar_book-sm.png,title: terrafibra architectures. title: terrafibra architectures. author: dominique gauzin-müller  aurélie vissac. author: dominique gauzin-müller  aurélie vissac. subjects: adobe houses  exhibitions  awards  earth construction  organic architecture  sustainable architecture  terrafibra awards
young architects 20: objective,"the architectural league of new york, anne rieselbach, claire weisz",2021,english,"architecture, architecture and society, competitions, awards, history, young architects, architectural league prize for young architects and designers, architectural league prize for young architects and designers. fast (ocolc)fst01776258",https://openlibrary.org/images/icons/avatar_book-sm.png,title: young architects 20: objective. title: young architects 20: objective. author: the architectural league of new york  anne rieselbach  claire weisz. author: the architectural league of new york  anne rieselbach  claire weisz. subjects: architecture  architecture and society  competitions  awards  history  young architects  architectural league prize for young architects and designers  architectural league prize for young architects and designers. fast (ocolc)fst01776258
young architects 21: just,"the architectural league of new york, anne rieselbach",2021,english,"architecture, awards, history, young architects, architectural league prize for young architects and designers, architectural league prize for young architects and designers. fast (ocolc)fst01776258",https://openlibrary.org/images/icons/avatar_book-sm.png,title: young architects 21: just. title: young architects 21: just. author: the architectural league of new york  anne rieselbach. author: the architectural league of new york  anne rieselbach. subjects: architecture  awards  history  young architects  architectural league prize for young architects and designers  architectural league prize for young architects and designers. fast (ocolc)fst01776258
årets bild 2021: främjar skickligt utförda yrkespresentationer inom bildjournalistiken,martin von krogh; vilhelm stokstad,2021,swedish,"photojournalism, artistic photography, awards, sweden",https://openlibrary.org/images/icons/avatar_book-sm.png,title: årets bild 2021: främjar skickligt utförda yrkespresentationer inom bildjournalistiken. title: årets bild 2021: främjar skickligt utförda yrkespresentationer inom bildjournalistiken. author: martin von krogh; vilhelm stokstad. author: martin von krogh; vilhelm stokstad. subjects: photojournalism  artistic photography  awards  sweden
