title,author,published_year,language,subjects,cover,content
nueva arquitectura tradicional mmxxii: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus,alejandro garcía hermida,2022,spanish,"vernacular architecture, architecture, awards, architecture vernaculaire, spain, espagne",https://openlibrary.org/images/icons/avatar_book-sm.png,nueva arquitectura tradicional mmxxii: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus [SEP] alejandro garcía hermida [SEP] vernacular architecture  architecture  awards  architecture vernaculaire  spain  espagne
politics of literary prestige: prizes and spanish american literature,sarah e. l. bowskill,2022,english,"spanish american literature, awards, political aspects, literary prizes, literary studies: from c 1900 -, literary studies: fiction, novelists & prose writers, social & political philosophy",https://openlibrary.org/images/icons/avatar_book-sm.png,politics of literary prestige: prizes and spanish american literature [SEP] sarah e. l. bowskill [SEP] spanish american literature  awards  political aspects  literary prizes  literary studies: from c 1900 -  literary studies: fiction  novelists & prose writers  social & political philosophy
premio combat 2022 prize,paolo batoni,2022,italian,"premio combat, exhibitions, modern art, italian art, art, awards, italy, livorno, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,premio combat 2022 prize [SEP] paolo batoni [SEP] premio combat  exhibitions  modern art  italian art  art  awards  italy  livorno  21st century
qspa 10: the queen sonja print award,alf van der hagen,2022,english,"prints, awards, queen sonja print award",https://openlibrary.org/images/icons/avatar_book-sm.png,qspa 10: the queen sonja print award [SEP] alf van der hagen [SEP] prints  awards  queen sonja print award
sustainable design 9: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city,marie-hélène contal,2022,french,"sustainable architecture, awards, history, global award for sustainable architecture, architecture and society, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,sustainable design 9: vers une nouvelle éthique pour l'architecture et la ville = towards a new ethics for architecture and the city [SEP] marie-hélène contal [SEP] sustainable architecture  awards  history  global award for sustainable architecture  architecture and society  21st century
symposium städtebau revisited: preise - praxis - perspektiven : preisverleihung : deutscher städtebaupreis 2020,christina simon-philipp,2022,german,"city planning, congresses, awards, german architecture, urbanisme, congrès, prix et récompenses, architecture allemande, germany, allemagne, 21st century, 21e siècle",https://openlibrary.org/images/icons/avatar_book-sm.png,symposium städtebau revisited: preise - praxis - perspektiven : preisverleihung : deutscher städtebaupreis 2020 [SEP] christina simon-philipp [SEP] city planning  congresses  awards  german architecture  urbanisme  congrès  prix et récompenses  architecture allemande  germany  allemagne  21st century  21e siècle
synthetic organic chemistry and the nobel prize volume 1,john g. d'angelo,2022,english,"science / chemistry / organic, medical / pharmacology, organic compounds, synthesis, nobel prizes, nobel prize winners, organic chemistry, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,synthetic organic chemistry and the nobel prize volume 1 [SEP] john g. d'angelo [SEP] science / chemistry / organic  medical / pharmacology  organic compounds  synthesis  nobel prizes  nobel prize winners  organic chemistry  awards
the best short stories 2022: the o. henry prize winners,"valeria luiselli, jenny minton quigley",2022,english,"literature, short stories, awards",https://covers.openlibrary.org/b/id/14597913-M.jpg,the best short stories 2022: the o. henry prize winners [SEP] valeria luiselli  jenny minton quigley [SEP] literature  short stories  awards
world press photo 2022,world press photo foundation,2022,english,"photojournalism, awards, twenty-first century, pictorial works, vingt et unième siècle, ouvrages illustrés, photographie de presse",https://covers.openlibrary.org/b/id/13256566-M.jpg,world press photo 2022 [SEP] world press photo foundation [SEP] photojournalism  awards  twenty-first century  pictorial works  vingt et unième siècle  ouvrages illustrés  photographie de presse
33o. prêmio design museu da casa brasileira: premiados e selecionados,brazil) prêmio design museu da casa bras...,2021,portuguese,"industrial design, exhibitions, awards, design, history, posters, brazil, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,33o. prêmio design museu da casa brasileira: premiados e selecionados [SEP] brazil) prêmio design museu da casa bras... [SEP] industrial design  exhibitions  awards  design  history  posters  brazil  21st century
anxiety on/off,anna lim,2021,english,"exhibitions, artistic photography, disaster victims, pictorial works, disasters, awards, ilwoo foundation",https://openlibrary.org/images/icons/avatar_book-sm.png,anxiety on/off [SEP] anna lim [SEP] exhibitions  artistic photography  disaster victims  pictorial works  disasters  awards  ilwoo foundation
architekturpreis nrw 2021,bund deutscher architektinnen und architekten bda landesverband nordrhein-westfalen,2021,german,"architecture, awards, exhibitions, germany, north rhine-westphalia",https://openlibrary.org/images/icons/avatar_book-sm.png,architekturpreis nrw 2021 [SEP] bund deutscher architektinnen und architekten bda landesverband nordrhein-westfalen [SEP] architecture  awards  exhibitions  germany  north rhine-westphalia
architizer: the world's best architecture practices 2021,architizer,2021,english,"architecture, modern, 21st century, architectural design, architecture, designs and plans, architecture, competitions, awards, modern architecture, designs and plans, architizer (online information services)",https://covers.openlibrary.org/b/id/12419105-M.jpg,architizer: the world's best architecture practices 2021 [SEP] architizer [SEP] architecture  modern  21st century  architectural design  architecture  designs and plans  architecture  competitions  awards  modern architecture  designs and plans  architizer (online information services)
arkitektur i trä: träpriset 2020 = architecture in wood : the swedish wood award 2020,svenskt trä (organization),2021,swedish,"wooden building, awards, swedish architecture, sweden",https://openlibrary.org/images/icons/avatar_book-sm.png,arkitektur i trä: träpriset 2020 = architecture in wood : the swedish wood award 2020 [SEP] svenskt trä (organization) [SEP] wooden building  awards  swedish architecture  sweden
ars viva 2021,"min-young jeon, nicolaus schafhausen, marc siegel, colin lang, kathleen rahn",2021,english,"art, exhibitions, awards, modern art, kulturkreis der deutschen wirtschaft im bundesverband der deutschen industrie",https://openlibrary.org/images/icons/avatar_book-sm.png,ars viva 2021 [SEP] min-young jeon  nicolaus schafhausen  marc siegel  colin lang  kathleen rahn [SEP] art  exhibitions  awards  modern art  kulturkreis der deutschen wirtschaft im bundesverband der deutschen industrie
bda hamburg architektur preis 2020: die baujahre 2018-2020 ; mit den gewinnerbauten der letzten 25 jahre,"hildegard kösters, anna schuster",2021,german,"architecture, awards, history, modern architecture, buildings, structures, germany, hamburg, hamburg (germany), 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,bda hamburg architektur preis 2020: die baujahre 2018-2020 ; mit den gewinnerbauten der letzten 25 jahre [SEP] hildegard kösters  anna schuster [SEP] architecture  awards  history  modern architecture  buildings  structures  germany  hamburg  hamburg (germany)  21st century
best highrises 2020/21: the international highrise award 2020,"peter cachola schmal, peter körner, stefanie lampe, jonas malzahn",2021,"english, german","high-rise apartment buildings, design and construction, skyscrapers, awards, exhibitions, architecture, modern architecture",https://openlibrary.org/images/icons/avatar_book-sm.png,best highrises 2020/21: the international highrise award 2020 [SEP] peter cachola schmal  peter körner  stefanie lampe  jonas malzahn [SEP] high-rise apartment buildings  design and construction  skyscrapers  awards  exhibitions  architecture  modern architecture
beton 21: architekturpreis = prix d'architecture:architecture prize,betonsuisse marketing ag,2021,multiple languages,"architecture, awards, switzerland",https://openlibrary.org/images/icons/avatar_book-sm.png,beton 21: architekturpreis = prix d'architecture:architecture prize [SEP] betonsuisse marketing ag [SEP] architecture  awards  switzerland
both pulitzer and nobel prize laureates in literature: jury communications about winners and works from sinclair le,heinz-dietrich fischer,2021,english,"writing, awards, nobel prize winners, pulitzer prizes",https://openlibrary.org/images/icons/avatar_book-sm.png,both pulitzer and nobel prize laureates in literature: jury communications about winners and works from sinclair le [SEP] heinz-dietrich fischer [SEP] writing  awards  nobel prize winners  pulitzer prizes
fukushi no shōjiten,nichigai asoshiētsu,2021,japanese,"social service, handbooks, manuals, awards, shakai fukushi-benran, hyōshō-benran, japan",https://openlibrary.org/images/icons/avatar_book-sm.png,fukushi no shōjiten [SEP] nichigai asoshiētsu [SEP] social service  handbooks  manuals  awards  shakai fukushi-benran  hyōshō-benran  japan
geehrte volkskunde: ehrenpromotionen und ehrenbürgerschaften an der universität münster (1922-1968),julius virnyi,2021,german,"academic decorations of honor, history, folklore, local history, degrees, awards, universität münster, germany, münster in westfalen, 20th century",https://openlibrary.org/images/icons/avatar_book-sm.png,geehrte volkskunde: ehrenpromotionen und ehrenbürgerschaften an der universität münster (1922-1968) [SEP] julius virnyi [SEP] academic decorations of honor  history  folklore  local history  degrees  awards  universität münster  germany  münster in westfalen  20th century
helen feifel: something else shapes : lingener kunstpreis 2020 = lingen art prize 2020,"helen feifel, meike behm",2021,german,"exhibitions, awards, kunsthalle lingen, helen feifel (1983-)",https://openlibrary.org/images/icons/avatar_book-sm.png,helen feifel: something else shapes : lingener kunstpreis 2020 = lingen art prize 2020 [SEP] helen feifel  meike behm [SEP] exhibitions  awards  kunsthalle lingen  helen feifel (1983-)
julian charrière: towards no earthly pole,"david breskin, ele carpenter, carson chan, peter galison, dehlia hannah, richard rhodes - undifferentiated, eric ellingsen, charles stankievech",2021,"english, german","exhibitions, glaciers, towards no earthly pole (motion picture), nuclear explosions in art, in art, art, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,julian charrière: towards no earthly pole [SEP] david breskin  ele carpenter  carson chan  peter galison  dehlia hannah  richard rhodes - undifferentiated  eric ellingsen  charles stankievech [SEP] exhibitions  glaciers  towards no earthly pole (motion picture)  nuclear explosions in art  in art  art  awards
"jāʼizat al-malik ʻabd al-ʻazīz lil-buḥūth al-ʻilmīyah fī qaḍāyā al-ṭufūlah wa-al-tanmiyah fī al-waṭan al-ʻarabī: al-buḥūth al-fāʼizah fī al-dawrah al-thāniyah ""tamkīn al-ṭifl al-ʻarabī fī ʻaṣr al-thawrah al-ṣināʻiyah al-rābiʻah, 2019-2021"" = king abdulaziz prize for scientific research on childhood and development : the winning research in the second cycle of the prize ''the empowerment of arab children in the era of the fourth industrial revolution, 2019-2021''",arab council for childhood and developme...,2021,arabic,"child development, research, effect of technological innovations on, awards, arab countries, saudi arabia, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,"jāʼizat al-malik ʻabd al-ʻazīz lil-buḥūth al-ʻilmīyah fī qaḍāyā al-ṭufūlah wa-al-tanmiyah fī al-waṭan al-ʻarabī: al-buḥūth al-fāʼizah fī al-dawrah al-thāniyah ""tamkīn al-ṭifl al-ʻarabī fī ʻaṣr al-thawrah al-ṣināʻiyah al-rābiʻah  2019-2021"" = king abdulaziz prize for scientific research on childhood and development : the winning research in the second cycle of the prize ''the empowerment of arab children in the era of the fourth industrial revolution  2019-2021'' [SEP] arab council for childhood and developme... [SEP] child development  research  effect of technological innovations on  awards  arab countries  saudi arabia  21st century"
"k wie kunst: kardinal könig kunstpreis für bildende kunst, salzburg 2021",kardinal-könig-kunstfonds der erzdiözese salzburg,2021,german,"modern art, awards, germany, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,k wie kunst: kardinal könig kunstpreis für bildende kunst  salzburg 2021 [SEP] kardinal-könig-kunstfonds der erzdiözese salzburg [SEP] modern art  awards  germany  21st century
la vita che danza: storie dal premio internazionale di danza classica maria antonietta berlusconi per i giovani,gisella zilembo,2021,italian,"ballet, awards, history, ballet dancers, premio mab, italy, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,la vita che danza: storie dal premio internazionale di danza classica maria antonietta berlusconi per i giovani [SEP] gisella zilembo [SEP] ballet  awards  history  ballet dancers  premio mab  italy  21st century
marcel odenbach: schnittvorlagen : wolfgang-hahn-preis 2021 = wolfgang hahn prize 2021,"marcel odenbach, carla cugini, yilmaz dziewior, susanne pfeffer, museum ludwig cologne",2021,multiple languages,"exhibitions, collage, awards, marcel odenbach (1953-)",https://openlibrary.org/images/icons/avatar_book-sm.png,marcel odenbach: schnittvorlagen : wolfgang-hahn-preis 2021 = wolfgang hahn prize 2021 [SEP] marcel odenbach  carla cugini  yilmaz dziewior  susanne pfeffer  museum ludwig cologne [SEP] exhibitions  collage  awards  marcel odenbach (1953-)
michaela meise. totenklage,thomas niemeyer,2021,"german, english, turkish","exhibitions, awards, städtische galerie nordhorn (germany)",https://covers.openlibrary.org/b/id/12566961-M.jpg,michaela meise. totenklage [SEP] thomas niemeyer [SEP] exhibitions  awards  städtische galerie nordhorn (germany)
nueva arquitectura tradicional mmxxi: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus,alejandro garcía hermida,2021,spanish,"vernacular architecture, architecture, awards, spain",https://openlibrary.org/images/icons/avatar_book-sm.png,nueva arquitectura tradicional mmxxi: premios de las artes de la construcción richard h. driehaus = new traditional architecture mmxxi : awards for building arts richard h. driehaus [SEP] alejandro garcía hermida [SEP] vernacular architecture  architecture  awards  spain
ogólnopolski przegląd plakatu muzealnego i ochrony zabytków: 2. edycja,poland) ogólnopolski przegląd plakatu mu...,2021,polish,"polish posters, graphic artists, posters, competitions, awards, art, exhibitions, poland",https://openlibrary.org/images/icons/avatar_book-sm.png,ogólnopolski przegląd plakatu muzealnego i ochrony zabytków: 2. edycja [SEP] poland) ogólnopolski przegląd plakatu mu... [SEP] polish posters  graphic artists  posters  competitions  awards  art  exhibitions  poland
preis bauen im bestand 2021,ira diana mazzoni,2021,german,"architecture, awards, modern architecture, germany, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,preis bauen im bestand 2021 [SEP] ira diana mazzoni [SEP] architecture  awards  modern architecture  germany  21st century
"premio franklin rawson, a las artes visuales: 1o. edición, 2020",emanuel diaz ruiz,2021,spanish,"art, exhibitions, awards, artists, history, argentina, san juan (province), 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,premio franklin rawson  a las artes visuales: 1o. edición  2020 [SEP] emanuel diaz ruiz [SEP] art  exhibitions  awards  artists  history  argentina  san juan (province)  21st century
"premio hystrio, giovani da 30 anni","ilaria angelone, claudia cannella",2021,italian,"premio hystrio, history, young actors, awards, italy",https://openlibrary.org/images/icons/avatar_book-sm.png,premio hystrio  giovani da 30 anni [SEP] ilaria angelone  claudia cannella [SEP] premio hystrio  history  young actors  awards  italy
prizing scottish literature: a cultural history of the saltire society literary awards,stevie marsden,2021,english,"literary prizes, scottish literature, awards, saltire society",https://openlibrary.org/images/icons/avatar_book-sm.png,prizing scottish literature: a cultural history of the saltire society literary awards [SEP] stevie marsden [SEP] literary prizes  scottish literature  awards  saltire society
"scénographie des plaisirs urbains - jacqueline osty, grand p","jacqueline osty, ariella masboungi, antoine petitjean",2021,french,"grand prix de l'urbanisme, city planning, history, awards, architecture",https://covers.openlibrary.org/b/id/11298645-M.jpg,scénographie des plaisirs urbains - jacqueline osty  grand p [SEP] jacqueline osty  ariella masboungi  antoine petitjean [SEP] grand prix de l'urbanisme  city planning  history  awards  architecture
shokubunka no shōjiten,nichigai asoshiētsu,2021,japanese,"food habits, handbooks, manuals, awards, food industry and trade, food science, agriculture, fisheries, shokuseikatsu-benran, shokuhin-benran, nōgyō-benran, hyōshō-benran, japan",https://openlibrary.org/images/icons/avatar_book-sm.png,shokubunka no shōjiten [SEP] nichigai asoshiētsu [SEP] food habits  handbooks  manuals  awards  food industry and trade  food science  agriculture  fisheries  shokuseikatsu-benran  shokuhin-benran  nōgyō-benran  hyōshō-benran  japan
"signo, expresión y conflicto: obras de ariel aballay, ezequiel quines, diego bastos",eduardo stupía,2021,spanish,"argentine drawing, exhibitions, awards, argentine art, artists, history, diego bastos (1975-), ezequiel quines (1987-), ariel aballay (1972-), argentina, san juan (province), 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,signo  expresión y conflicto: obras de ariel aballay  ezequiel quines  diego bastos [SEP] eduardo stupía [SEP] argentine drawing  exhibitions  awards  argentine art  artists  history  diego bastos (1975-)  ezequiel quines (1987-)  ariel aballay (1972-)  argentina  san juan (province)  21st century
sten a olssons kulturstipendium 2020,"sara michaëlsson, magnus haglund",2021,swedish,"swedish art, arts, awards, scholarships, fellowships, sten a olssons stiftelse för forskning och kultur, sweden, göteborg",https://openlibrary.org/images/icons/avatar_book-sm.png,sten a olssons kulturstipendium 2020 [SEP] sara michaëlsson  magnus haglund [SEP] swedish art  arts  awards  scholarships  fellowships  sten a olssons stiftelse för forskning och kultur  sweden  göteborg
st︠s︡enarii peremen: uvarovskai︠a︡ nagrada i ėvoli︠u︡t︠s︡ii︠a︡ russkoĭ dramaturgii v ėpokhu aleksandra ii,k. i︠u︡ zubkov,2021,russian,"russian drama, history and criticism, literary prizes, history, awards, russia, 19th century",https://openlibrary.org/images/icons/avatar_book-sm.png,st︠s︡enarii peremen: uvarovskai︠a︡ nagrada i ėvoli︠u︡t︠s︡ii︠a︡ russkoĭ dramaturgii v ėpokhu aleksandra ii [SEP] k. i︠u︡ zubkov [SEP] russian drama  history and criticism  literary prizes  history  awards  russia  19th century
swiss architectural award 2020,nicola navone,2021,"italian, english","modern architecture, exhibitions, architecture, awards, switzerland, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,swiss architectural award 2020 [SEP] nicola navone [SEP] modern architecture  exhibitions  architecture  awards  switzerland  21st century
terrafibra architectures,"dominique gauzin-müller, aurélie vissac",2021,french,"adobe houses, exhibitions, awards, earth construction, organic architecture, sustainable architecture, terrafibra awards",https://openlibrary.org/images/icons/avatar_book-sm.png,terrafibra architectures [SEP] dominique gauzin-müller  aurélie vissac [SEP] adobe houses  exhibitions  awards  earth construction  organic architecture  sustainable architecture  terrafibra awards
young architects 20: objective,"the architectural league of new york, anne rieselbach, claire weisz",2021,english,"architecture, architecture and society, competitions, awards, history, young architects, architectural league prize for young architects and designers, architectural league prize for young architects and designers. fast (ocolc)fst01776258",https://openlibrary.org/images/icons/avatar_book-sm.png,young architects 20: objective [SEP] the architectural league of new york  anne rieselbach  claire weisz [SEP] architecture  architecture and society  competitions  awards  history  young architects  architectural league prize for young architects and designers  architectural league prize for young architects and designers. fast (ocolc)fst01776258
young architects 21: just,"the architectural league of new york, anne rieselbach",2021,english,"architecture, awards, history, young architects, architectural league prize for young architects and designers, architectural league prize for young architects and designers. fast (ocolc)fst01776258",https://openlibrary.org/images/icons/avatar_book-sm.png,young architects 21: just [SEP] the architectural league of new york  anne rieselbach [SEP] architecture  awards  history  young architects  architectural league prize for young architects and designers  architectural league prize for young architects and designers. fast (ocolc)fst01776258
årets bild 2021: främjar skickligt utförda yrkespresentationer inom bildjournalistiken,martin von krogh; vilhelm stokstad,2021,swedish,"photojournalism, artistic photography, awards, sweden",https://openlibrary.org/images/icons/avatar_book-sm.png,årets bild 2021: främjar skickligt utförda yrkespresentationer inom bildjournalistiken [SEP] martin von krogh; vilhelm stokstad [SEP] photojournalism  artistic photography  awards  sweden
ṿe-eleh shemot ha-giborim: gibore ha-milḥemet ha-ʻatsmaʼut she-humletsu le-ʼotot hitsṭaynut = these are the names of the heroes : heroes of the war of independence recommended for medals of excellence,offer drori,2021,hebrew,"armed forces, soldiers, awards, israel. tseva haganah le-yiśraʼel, israel",https://openlibrary.org/images/icons/avatar_book-sm.png,ṿe-eleh shemot ha-giborim: gibore ha-milḥemet ha-ʻatsmaʼut she-humletsu le-ʼotot hitsṭaynut = these are the names of the heroes : heroes of the war of independence recommended for medals of excellence [SEP] offer drori [SEP] armed forces  soldiers  awards  israel. tseva haganah le-yiśraʼel  israel
2. međunarodni trijenale grafike livno: 2nd international triennial of graphic arts in livno : 26.6.-1.11.2020,željka markov,2020,multiple languages,"graphic arts, exhibitions, awards, art, modern art, bosnia and herzegovina, livno",https://openlibrary.org/images/icons/avatar_book-sm.png,2. međunarodni trijenale grafike livno: 2nd international triennial of graphic arts in livno : 26.6.-1.11.2020 [SEP] željka markov [SEP] graphic arts  exhibitions  awards  art  modern art  bosnia and herzegovina  livno
amartya sen: friedenspreis des deutschen buchhandels 2020 : ansprachen aus anlass der verleihung = peace prize of the german book trade : conferment speeches,amartya sen,2020,"german, english","awards, peace, award presentations, amartya sen (1933-), germany",https://openlibrary.org/images/icons/avatar_book-sm.png,amartya sen: friedenspreis des deutschen buchhandels 2020 : ansprachen aus anlass der verleihung = peace prize of the german book trade : conferment speeches [SEP] amartya sen [SEP] awards  peace  award presentations  amartya sen (1933-)  germany
american illustration: 39,milan bozic,2020,english,"illustrators, competitions, magazine illustration, design, graphic arts, awards, american drawing, united states, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,american illustration: 39 [SEP] milan bozic [SEP] illustrators  competitions  magazine illustration  design  graphic arts  awards  american drawing  united states  21st century
architecture in dialogue: aga khan award for architecture 2019,"andres lepik, farrokh derakhshani, aga khan award for architecture, david adjaye, mohammad al-asad",2020,english,"modern architecture, awards, islamic architecture, aga khan award for architecture (organization)",https://openlibrary.org/images/icons/avatar_book-sm.png,architecture in dialogue: aga khan award for architecture 2019 [SEP] andres lepik  farrokh derakhshani  aga khan award for architecture  david adjaye  mohammad al-asad [SEP] modern architecture  awards  islamic architecture  aga khan award for architecture (organization)
arteam cup: contemporary art prize : 2020 · 6a edizione,"matteo galbiati, livia savorelli, nadia stefanel",2020,italian,"italian art, exhibitions, art, awards, italy, forlì, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,arteam cup: contemporary art prize : 2020 · 6a edizione [SEP] matteo galbiati  livia savorelli  nadia stefanel [SEP] italian art  exhibitions  art  awards  italy  forlì  21st century
baloise art,"david campany, martin schwander, manuela ammer, julika bosch",2020,english,"art, awards, modern art, art collections, art museums, baloise group",https://openlibrary.org/images/icons/avatar_book-sm.png,baloise art [SEP] david campany  martin schwander  manuela ammer  julika bosch [SEP] art  awards  modern art  art collections  art museums  baloise group
bauernkriegspanorama,kathrin röggla,2020,german,"criticism and interpretation, social problems, history, social media, radicalism, german literature, history and criticism, awards, röggla kathrin, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,bauernkriegspanorama [SEP] kathrin röggla [SEP] criticism and interpretation  social problems  history  social media  radicalism  german literature  history and criticism  awards  röggla kathrin  21st century
betye saar: wolfgang-hahn-preis 2020 : 2020 wolfgang hahn prize,carla cugini,2020,german,"awards, found objects (art), artists, artistes, betye saar, united states, états-unis",https://openlibrary.org/images/icons/avatar_book-sm.png,betye saar: wolfgang-hahn-preis 2020 : 2020 wolfgang hahn prize [SEP] carla cugini [SEP] awards  found objects (art)  artists  artistes  betye saar  united states  états-unis
boku wa i san kara bungaku o mananda: yi sang munhaksang taesang chakka ŭi chajŏnjŏk esei = the autobiographical essays of the yisang literary award grand prix winners,"i-hyŏng yun, ayako furukawa",2020,japanese,"korean essays, translations into japanese, yi sang munhaksang, history, korean fiction, awards, 20th century, 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,boku wa i san kara bungaku o mananda: yi sang munhaksang taesang chakka ŭi chajŏnjŏk esei = the autobiographical essays of the yisang literary award grand prix winners [SEP] i-hyŏng yun  ayako furukawa [SEP] korean essays  translations into japanese  yi sang munhaksang  history  korean fiction  awards  20th century  21st century
brick 20: outstanding international brick architecture,"wienerberger ag, wienerberger ag wienerberger ag",2020,english,"brick building, awards, pictorial works, modern architecture, wienerberger brick award",https://openlibrary.org/images/icons/avatar_book-sm.png,brick 20: outstanding international brick architecture [SEP] wienerberger ag  wienerberger ag wienerberger ag [SEP] brick building  awards  pictorial works  modern architecture  wienerberger brick award
canada's storytellers | les grands écrivains du canada: the gg literary award laureates | les lauréats des prix littéraires du gg,"a. d. irvine, edmond rivère, stephanie tolman",2020,"english, french","canadian authors, biography, canadian literature, awards, authors, canadian (french), governor general's literary awards, english literature",https://openlibrary.org/images/icons/avatar_book-sm.png,canada's storytellers | les grands écrivains du canada: the gg literary award laureates | les lauréats des prix littéraires du gg [SEP] a. d. irvine  edmond rivère  stephanie tolman [SEP] canadian authors  biography  canadian literature  awards  authors  canadian (french)  governor general's literary awards  english literature
cecile b. evans: 1770-25k,cecile b. evans,2020,english,"exhibitions, video art, art, awards",https://openlibrary.org/images/icons/avatar_book-sm.png,cecile b. evans: 1770-25k [SEP] cecile b. evans [SEP] exhibitions  video art  art  awards
"chŏlmŭn kŏnch'ukka sangsang hago t'amgu hago chojŏng hada: young architect imagining, studying and coordinating",chi-hyŏn pak,2020,korean,"architecture, korean architecture, modern architecture, awards, korea (south), 21st century",https://openlibrary.org/images/icons/avatar_book-sm.png,chŏlmŭn kŏnch'ukka sangsang hago t'amgu hago chojŏng hada: young architect imagining  studying and coordinating [SEP] chi-hyŏn pak [SEP] architecture  korean architecture  modern architecture  awards  korea (south)  21st century
